,ID,Catchment Name,Area (m2),Length,Slope (Gradient),Order,Proportional coefficient (K),Exponential Coefficient (P),River System,Source_river,Target_river,f1,fsa,rsa,slope,K
78,79,6176_1,3054000,4918,0.01024,115,14.864,0.85,Rangitaki,115,113,0.4,0.8,99,0.01024,14.864
77,78,6163_1,4621000,8693,0.02134,104,18.111,1,Rangitaki,104,103,0.4,0.7,116,0.02134,18.111
76,77,6153_2,2539000,4026,0.00504,93,21.719,1,Rangitaki,93,86,0.4,0.7,102,0.00504,21.719
75,76,6153_1,9203000,6884,0.00701,96,18.445,1,Rangitaki,96,93,0.4,0.7,99,0.00701,18.445
74,75,6126_2,550000,1265,0.11954,21,29.53,1,Rangitaki,21,18,0.15,0.2,145,0.11954,29.53
73,74,6126_1,463000,946,0.21884,21,18.943,1,Rangitaki,21,18,0.15,0.2,149,0.21884,18.943
72,73,6112_1,893000,1906,0.15152,13,32.548,1,Rangitaki,13,11,0.15,0.2,146,0.15152,32.548
71,72,6090_1,882000,997,0.20156,16,19.812,1,Rangitaki,16,15,0.15,0.2,128,0.20156,19.812
70,71,6000_2,3827000,5719,0.02541,104,14.026,1,Rangitaki,104,103,0.4,0.7,109,0.02541,14.026
69,70,6000_1,1485000,3268,0.01276,104,12.703,1,Rangitaki,104,103,0.4,0.7,97,0.01276,12.703
68,69,5975_1,903000,1919,0.13487,7,28.37,1,Rangitaki,7,6,0.15,0.2,131,0.13487,28.37
67,68,5938_2,2881000,4208,0.09351,179,10.657,1,Rangitaki,179,178,0.4,0.75,114,0.09351,10.657
66,67,5938_1,2433000,3689,0.05569,178,41.747,1,Rangitaki,178,176,0.15,0.25,122,0.05569,41.747
65,66,5936_1,3981000,4851,0.02327,50,61.402,1,Rangitaki,50,48,0.15,0.2,128,0.02327,61.402
64,65,5927_2,949000,1555,0.08835,179,7.141,1,Rangitaki,179,178,0.4,0.75,109,0.08835,7.141
63,64,5927_1,1462000,2748,0.14536,179,8.255,1,Rangitaki,179,178,0.4,0.75,121,0.14536,8.255
62,63,5893_2,1443000,2583,0.02825,5,47.232,1,Rangitaki,5,2,0.15,0.2,130,0.02825,47.232
61,62,5893_1,1976000,2317,0.01298,2,59.373,1,Rangitaki,2,1,0.15,0.2,120,0.01298,59.373
60,61,5892_1,11040000,6369,0.07725,104,18.227,1,Rangitaki,104,103,0.4,0.7,150,0.07725,18.227
59,60,5840_2,5235000,4502,0.02982,137,15.342,1,Rangitaki,137,129,0.4,0.75,117,0.02982,15.342
58,59,5840_1,5900000,6795,0.04697,137,15.471,1,Rangitaki,137,129,0.4,0.75,118,0.04697,15.471
